space_url,time_period_desc_fixed,price_type,total_price,venue_url,venue_name,space_name,latitude,longitude,address,nearest_tube_station,tube_distance,max_seated,max_standing,max_seated_or_standing,min_area_per_person,area_in_m2,standing,dining,theatre,boardroom,classroom,cabaret,u_shaped,Dining_max,Theatre_max,Boardroom_max,Classroom_max,Cabaret_max,U-Shaped_max,supervenue,external_catering,in_house_kitchen,byo_alcohol,venue_provides_alcohol,alcohol_licence,extension_available,complimentary_water,complimentary_tea_and_coffee,Halal_menu,Kosher_menu,vegan_menu,gluten_free_menu,parking,Wi-Fi,Projector,Flipchart,Natural_light,Flatscreen_TV,Whiteboard,Conference_call_facilities,Air_conditioning,Storage_space,Accommodation_available,Own_music_allowed,Bring_your_own_DJ,PA_system_or_music_speakers_available,Wheelchair_accessible,Promoted_or_ticketed_events,Loud_music_or_events,Wedding_licence,Temporary_event_notices_(TENs)_available,Disabled_access_toilets,Ground_level,Lift_to_all_floors
https://www.tagvenue.com/rooms/london/3367/the-sterling/main-bar,Per day,min. spend,4000.0,https://www.tagvenue.com/venues/london/1115/the-sterling,the sterling,main bar,51.5144918,-0.0803065,"St Mary Axe, 30 , London , EC3A 8BF",Aldgate Station,400.0,200,250,250,0.88,220.0,True,True,False,False,False,False,False,200.0,0.0,0.0,0.0,0.0,0.0,True,No External Catering,True,BYO alcohol not allowed,True,3:00,extension not available,True,False,False,False,False,False,No Parking Available,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,True,True
https://www.tagvenue.com/rooms/london/3368/the-sterling/drawing-room,Per evening,min. spend,1500.0,https://www.tagvenue.com/venues/london/1115/the-sterling,the sterling,drawing room,51.5144918,-0.0803065,"St Mary Axe, 30 , London , EC3A 8BF",Aldgate Station,400.0,40,50,50,1.1,55.0,True,True,False,False,False,False,False,40.0,0.0,0.0,0.0,0.0,0.0,True,No External Catering,True,BYO alcohol not allowed,True,3:00,extension not available,True,False,False,False,False,False,No Parking Available,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,True,True
https://www.tagvenue.com/rooms/london/3369/the-sterling/the-mezzanine,Per evening,min. spend,1500.0,https://www.tagvenue.com/venues/london/1115/the-sterling,the sterling,the mezzanine,51.5144918,-0.0803065,"St Mary Axe, 30 , London , EC3A 8BF",Aldgate Station,400.0,40,70,70,0.7142857142857143,50.0,True,True,False,False,False,False,False,40.0,0.0,0.0,0.0,0.0,0.0,True,No External Catering,True,BYO alcohol not allowed,True,3:00,extension not available,True,False,False,False,False,False,No Parking Available,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True
https://www.tagvenue.com/rooms/london/3370/the-sterling/outside-terrace-area,Per evening,min. spend,2000.0,https://www.tagvenue.com/venues/london/1115/the-sterling,the sterling,outside terrace area ,51.5144918,-0.0803065,"St Mary Axe, 30 , London , EC3A 8BF",Aldgate Station,400.0,200,500,500,,,True,True,False,False,False,False,False,200.0,0.0,0.0,0.0,0.0,0.0,True,No External Catering,True,BYO alcohol not allowed,True,3:00,extension not available,True,False,False,False,False,False,No Parking Available,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True
https://www.tagvenue.com/rooms/london/3386/balls-brothers-minster-court/bar-and-terrace,Per evening,min. spend,2000.0,https://www.tagvenue.com/venues/london/1262/balls-brothers-minster-court,balls brothers minster court,bar and terrace,51.5108072,-0.0810504,"Minster Court, Mincing Lane, London, EC3R 7PP",Tower Hill Station,400.0,150,270,270,0.925925925925926,250.0,True,True,False,False,False,False,False,150.0,0.0,0.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,0:30,extension available,True,False,False,False,True,True,No Parking Available,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False
https://www.tagvenue.com/rooms/london/3387/balls-brothers-minster-court/restaurant,Per evening,min. spend,700.0,https://www.tagvenue.com/venues/london/1262/balls-brothers-minster-court,balls brothers minster court,restaurant,51.5108072,-0.0810504,"Minster Court, Mincing Lane, London, EC3R 7PP",Tower Hill Station,400.0,100,130,130,0.9230769230769232,120.0,True,True,False,False,False,True,False,100.0,0.0,0.0,0.0,60.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,0:30,extension available,True,False,False,False,True,True,No Parking Available,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
https://www.tagvenue.com/rooms/london/3389/balls-brothers-minster-court/minster-court-suite,Per evening,min. spend,3000.0,https://www.tagvenue.com/venues/london/1262/balls-brothers-minster-court,balls brothers minster court,minster court suite,51.5108072,-0.0810504,"Minster Court, Mincing Lane, London, EC3R 7PP",Tower Hill Station,400.0,250,300,300,0.8333333333333334,250.0,True,True,True,False,False,True,False,200.0,250.0,0.0,0.0,190.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,0:30,extension available,True,False,False,False,True,True,No Parking Available,True,True,True,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False
https://www.tagvenue.com/rooms/london/3390/balls-brothers-minster-court/chablis,Per day,min. spend,1000.0,https://www.tagvenue.com/venues/london/1262/balls-brothers-minster-court,balls brothers minster court,chablis,51.5108072,-0.0810504,"Minster Court, Mincing Lane, London, EC3R 7PP",Tower Hill Station,400.0,80,90,90,0.8888888888888888,80.0,True,False,True,True,False,False,False,0.0,80.0,30.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,0:30,extension available,True,False,False,False,True,True,No Parking Available,True,True,True,False,True,True,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False
https://www.tagvenue.com/rooms/london/3391/balls-brothers-minster-court/bordeaux,Per day,min. spend,1000.0,https://www.tagvenue.com/venues/london/1262/balls-brothers-minster-court,balls brothers minster court,bordeaux,51.5108072,-0.0810504,"Minster Court, Mincing Lane, London, EC3R 7PP",Tower Hill Station,400.0,90,120,120,0.8333333333333334,100.0,True,False,True,True,False,False,False,0.0,90.0,30.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,0:30,extension available,True,False,False,False,True,True,No Parking Available,True,True,True,False,True,True,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False
https://www.tagvenue.com/rooms/london/3392/balls-brothers-minster-court/burgundy,Per day,min. spend,1000.0,https://www.tagvenue.com/venues/london/1262/balls-brothers-minster-court,balls brothers minster court,burgundy,51.5108072,-0.0810504,"Minster Court, Mincing Lane, London, EC3R 7PP",Tower Hill Station,400.0,80,90,90,1.1111111111111112,100.0,True,False,True,True,False,False,False,0.0,80.0,30.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,0:30,extension available,True,False,False,False,True,True,No Parking Available,True,True,True,False,True,True,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False
https://www.tagvenue.com/rooms/london/34187/the-pen-theatre/theatre,Per evening,min. spend,1000.0,https://www.tagvenue.com/venues/london/16163/the-pen-theatre,the pen theatre,theatre ,51.484076370537,-0.055443001852422,"Penarth Street, Unit 22b, Penarth Centre, London, SE15 1TR",,,40,60,60,0.8666666666666667,52.0,True,False,True,False,False,True,True,0.0,40.0,0.0,0.0,40.0,40.0,False,No External Catering,True,BYO alcohol not allowed,True,0:00,extension available,True,False,True,False,True,False,Paid and/or Free Parking,True,True,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False
https://www.tagvenue.com/rooms/london/34212/shutters-canary-wharf/the-library,Per evening,min. spend,1500.0,https://www.tagvenue.com/venues/london/14328/shutters-canary-wharf,shutters canary wharf,the library ,51.5049489,-0.0195006,"Canada Square, 1, London, E14 5AB",Canary Wharf Station,200.0,30,75,75,0.8266666666666667,62.0,True,True,False,False,False,False,False,30.0,0.0,0.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,0:00,extension available,True,False,False,False,False,False,Paid Parking,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
