space_url,venue_url,venue_name,space_name,latitude,longitude,address,nearest_tube_station,max_seated,max_standing,area_in_m2,catering_offered,external_catering_allowed,supervenue,Standing_max,Dining_max,Theatre_max,Boardroom_max,Classroom_max,Cabaret_max,U-Shaped_max,Approved caterers only,BYO alcohol allowed,BYO alcohol not allowed,External catering allowed,External catering not allowed,In-house catering,No in-house catering,Venue doesn’t provide alcohol,Venue provides alcohol,Alcohol licence until 23:00,Corkage fee for BYO alcohol,Buyout fee for external catering,Kitchen facilities available for guests,Complimentary water,Complimentary tea and coffee,Alcohol licence until 23:00 (extension available),Halal menu,Kosher menu,Extensive vegan menu,Extensive gluten-free menu,Alcohol licence until 1:30,Alcohol licence until 1:00,Alcohol licence until 0:00,Alcohol licence until 1:00 (extension available),Alcohol licence until 5:00 (extension available),Alcohol licence until 3:00 (extension available),Alcohol licence until 0:00 (extension available),Alcohol licence until 2:00 (extension available),Alcohol licence until 22:30,Alcohol licence until 22:00,Alcohol licence until 2:00,Alcohol licence until 22:30 (extension available),Alcohol licence until 3:00,Alcohol licence until 0:30 (extension available),Alcohol licence until 4:00,Alcohol licence until 23:30,Alcohol licence until 23:30 (extension available),Alcohol licence until 21:30,Alcohol licence until 4:00 (extension available),Alcohol licence until 2:30,Alcohol licence until 0:30,Alcohol licence until 22:00 (extension available),Alcohol licence until 5:00,Alcohol licence until 21:00 (extension available),Alcohol licence until 2:30 (extension available),Alcohol licence until 21:00,Alcohol licence until 1:30 (extension available),Wi-Fi,Projector,Flipchart,Natural light,Flatscreen TV,Whiteboard,Conference call facilities,Air conditioning,Storage space,Accommodation available,Parking available,Own music allowed,Bring your own DJ,PA system / music speakers available,Wheelchair accessible,Promoted / ticketed events,Loud music / events,Wedding licence,Temporary event notices (TENs) available,Paid parking facilities available nearby,Disabled access toilets,Ground level,Lift to all floors,Free parking is available on-site
https://www.tagvenue.com/rooms/london/21383/the-hoxton-southwark/study-or-library,https://www.tagvenue.com/venues/london/8920/the-hoxton-southwark,"the hoxton, southwark",study or library,51.505680056052,-0.10447444907379,"Blackfriars Road, 40, London, SE1 8NY",Southwark Station (250 yd),8,10,11,Venue offers catering,External catering not allowed,False,10.0,6.0,8.0,6.0,,,,0,0,1,0,1,1,0,0,1,,,,,1.0,1.0,,False,False,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,True,False,True,True,False,True,False,True,False,True,True,False,False,False,False,,,,,
https://www.tagvenue.com/rooms/london/1654/harrow-school/ryan-theatre,https://www.tagvenue.com/venues/london/82/harrow-school,harrow school,ryan theatre,51.573560965972,-0.33411161353661,"5 High Street, Harrow on the Hill , London, HA1 3HP",Harrow on the Hill Station (750 yd),380,0,450,Venue offers catering,External catering not allowed,False,,,380.0,,,,,1,1,0,0,1,1,0,0,1,,False,,,1.0,1.0,,True,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,True,False,False,False,False,False,,True,False,True,True,True,True,False,True,,,,,
https://www.tagvenue.com/rooms/london/1110/westminster-abbey/the-cellarium,https://www.tagvenue.com/venues/london/435/westminster-abbey,westminster abbey,the cellarium,51.499447476244,-0.12969060635987,"Westminster Abbey, Broad Sanctuary, London, SW1P 3PA",St. James's Park Station (350 yd),80,120,110,Venue offers catering,External catering not allowed,False,120.0,80.0,80.0,52.0,,,,1,0,1,0,1,1,0,0,1,,,,,0.0,0.0,,False,False,False,False,,,,,,,True,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,,,,,
https://www.tagvenue.com/rooms/london/15290/hilton-london-paddington/thunderbolt,https://www.tagvenue.com/venues/london/6961/hilton-london-paddington,hilton london paddington,thunderbolt,51.515780080538,-0.17552375793457,"Praed Street, 146, London, W2 1EE",Paddington Station (100 yd),70,50,85,Venue offers catering,External catering not allowed,False,50.0,50.0,70.0,28.0,28.0,40.0,25.0,1,0,1,0,1,1,0,0,1,True,,,,1.0,1.0,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,False,False,True,False,True,,False,False,True,True,False,False,False,False,,,,,True
https://www.tagvenue.com/rooms/london/24663/the-residence-at-holmes-hotel-london/the-billiards-room,https://www.tagvenue.com/venues/london/11324/the-residence-at-holmes-hotel-london,the residence at holmes hotel london,the billiards room,51.521291589274,-0.15601372698365,"Chiltern Street, 83, London, W1U 6NF",Baker Street Station (250 yd),14,20,33,Venue offers catering,External catering not allowed,False,20.0,14.0,,14.0,,,,0,0,1,0,1,1,0,0,1,,,,,0.0,0.0,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,False,True,False,True,True,False,True,,True,False,False,True,True,True,False,False,True,True,,True,
https://www.tagvenue.com/rooms/london/10520/kora-photo-studio/photo-studio,https://www.tagvenue.com/venues/london/4768/kora-photo-studio,kora photo studio,photo studio,51.512435008814,-0.032669305801392,"Commercial Road, 640, London, e14 7le",Limehouse Station (550 yd),0,15,2200,Venue doesn’t offer catering,External catering not allowed,True,15.0,,,,,,,0,0,1,0,1,0,1,1,0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,True,True,False,,False,False,False,True,False,False,False,False,,,True,,
https://www.tagvenue.com/rooms/london/20953/eastcheap-records/the-green-room,https://www.tagvenue.com/venues/london/9383/eastcheap-records,eastcheap records,the green room,51.5105018,-0.0837735,"Eastcheap, 20, London, EC3M 1EB",Bank Station (550 yd),30,50,36,Venue offers catering,External catering not allowed,False,50.0,,,,,,30.0,0,0,1,0,1,1,0,0,1,,,,,1.0,0.0,,False,False,False,False,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,,,,,
https://www.tagvenue.com/rooms/london/7819/slug-and-lettuce-aldgate/abbey-vaults,https://www.tagvenue.com/venues/london/4009/slug-and-lettuce-aldgate,"slug and lettuce, aldgate",abbey vaults,51.512233028057,-0.075485408306122,"St.Clare House, 30-33 Minories, London, Ec3N 1DD",Tower Gateway Station (250 yd),150,340,280,Venue offers catering,External catering not allowed,False,340.0,150.0,,,,,,0,0,1,0,1,1,0,0,1,,,,,1.0,0.0,,False,False,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,,,,,
https://www.tagvenue.com/rooms/london/5862/st-bride-foundation/bridewell-hall,https://www.tagvenue.com/venues/london/2737/st-bride-foundation,st bride foundation,bridewell hall,51.513528385785,-0.10520945061683,"14 Bride Lane, London, EC4Y 8EQ",Blackfriars Station (300 yd),150,180,113,Venue offers catering,External catering not allowed,False,180.0,100.0,150.0,36.0,60.0,80.0,30.0,1,1,0,0,1,1,0,0,1,,False,,,1.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,True,True,True,True,,,,,
https://www.tagvenue.com/rooms/twickenham/25204/twickenham-stadium/pitch-side-players-tunnel,https://www.tagvenue.com/venues/twickenham/226/twickenham-stadium,twickenham stadium,pitch-side & players tunnel,51.4547081,-0.3408633,"Whitton Road, 200, Twickenham, TW2 7BA",,0,1200,1000,Venue offers catering,External catering not allowed,False,1200.0,,,,,,,1,1,0,0,1,1,0,0,1,,False,,,1.0,0.0,,True,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,True,False,False,False,True,True,,True,True,True,True,True,True,False,False,,True,True,True,
https://www.tagvenue.com/rooms/london/13005/paddington/grand,https://www.tagvenue.com/venues/london/5933/paddington,paddington,grand,51.518624199789,-0.17423629760742,"Merchant Square, 5, London, W2 1AY",Edgware Road Bakerloo Station (400 yd),10,0,21,Venue offers catering,External catering not allowed,True,,,,10.0,,,,0,0,1,0,1,1,0,1,0,,,,,1.0,1.0,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,,,,,
https://www.tagvenue.com/rooms/london/29925/studio-movement/studio-movement,https://www.tagvenue.com/venues/london/976/studio-movement,studio movement,studio movement,51.520953542091,-0.09072163624573,"Chiswell Street, Templeton House, 33-34 , London, EC1Y 4SF",Moorgate Station (350 yd),0,20,42,Venue doesn’t offer catering,External catering not allowed,True,20.0,,,,,,,0,1,0,0,1,0,1,1,0,,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,,True,True,True,False,False,False,False,True,True,,,True,
https://www.tagvenue.com/rooms/london/19419/socialista-lounge/whole-venue,https://www.tagvenue.com/venues/london/8009/socialista-lounge,socialista lounge,whole venue,51.509103046493,-0.14361619949337,"15A Hay Hill, Mayfair, Berkeley House, London, W1J 8NS",Green Park Station (300 yd),45,75,80,Venue offers catering,External catering not allowed,False,75.0,45.0,,,,30.0,,0,0,1,0,1,1,0,0,1,,,,,0.0,0.0,,True,False,False,False,,,,,,,,,,,,,True,,,,,,,,,,,,,,,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,,,,,
https://www.tagvenue.com/rooms/london/22567/harrow-school/west-street-meeting-room,https://www.tagvenue.com/venues/london/82/harrow-school,harrow school,west street meeting room,51.573560965972,-0.33411161353661,"5 High Street, Harrow on the Hill , London, HA1 3HP",Harrow on the Hill Station (750 yd),20,15,70,Venue offers catering,External catering not allowed,False,15.0,,,20.0,,,,1,1,0,0,1,1,0,0,1,,False,,,1.0,1.0,,True,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False,True,True,False,False,,False,False,True,True,True,True,False,False,,True,True,,
https://www.tagvenue.com/rooms/london/6791/the-tankard/whole-venue,https://www.tagvenue.com/venues/london/3371/the-tankard,the tankard,whole venue,51.495294958865,-0.11069561904901,"Kennington Road, 111, London, SE11 6SF",Lambeth North Station (500 yd),130,300,280,Venue offers catering,External catering not allowed,False,300.0,130.0,,,,,,0,0,1,0,1,1,0,0,1,,,,,1.0,0.0,,False,False,True,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,,,,,
https://www.tagvenue.com/rooms/london/13664/the-parcel-yard/the-station-masters-office,https://www.tagvenue.com/venues/london/3206/the-parcel-yard,the parcel yard,the station  master's office ,51.532129672484,-0.12395024299622,"Kings Cross, London, N1C 4AH",King's Cross St. Pancras Station (250 yd),27,40,43,Venue offers catering,External catering not allowed,True,40.0,27.0,,,,,,0,0,1,0,1,1,0,0,1,,,,,1.0,1.0,,False,False,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,True,False,True,True,True,False,False,True,False,False,,False,False,True,True,False,False,True,False,True,,,,
https://www.tagvenue.com/rooms/london/18843/the-dorchester/the-boardroom,https://www.tagvenue.com/venues/london/8377/the-dorchester-1,the dorchester,the boardroom ,51.507460346128,-0.15231728553772,"Park Lane, 53, London, W1K 1QA",Hyde Park Corner Station (600 yd),12,0,28,Venue offers catering,External catering not allowed,False,,12.0,,12.0,,,,1,0,1,0,1,1,0,0,1,,,,,0.0,0.0,,True,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,True,False,False,True,True,True,,True,False,False,True,False,True,False,False,,,,,True
https://www.tagvenue.com/rooms/london/13876/the-glasshouse/back-yard-garden,https://www.tagvenue.com/venues/london/6379/the-glasshouse,the glasshouse,back yard garden,51.4044842,-0.2573083,"Coombe Road, 14, London, KT3 4QE",,57,100,24,Venue offers catering,External catering allowed,False,100.0,57.0,,,,,,0,0,1,1,0,1,0,0,1,,,True,True,1.0,0.0,,False,False,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,False,False,False,,True,False,True,True,True,False,False,False,,,,,True
