url,venue_name,space_name,latitude,longitude,address,nearest_tube_station,max_seated,max_standing,area_in_m2,catering_offered,external_catering_allowed,supervenue,Boardroom_max,Standing_max,Dining_max,Theatre_max,Cabaret_max,U-Shaped_max,Classroom_max,Approved caterers only,BYO alcohol allowed,BYO alcohol not allowed,External catering allowed,External catering not allowed,In-house catering,No in-house catering,Venue doesn’t provide alcohol,Venue provides alcohol,Buyout fee for external catering,Kitchen facilities available for guests,Complimentary water,Complimentary tea and coffee,Alcohol licence until 03:00 (extension available),Halal menu,Kosher menu,Extensive vegan menu,Extensive gluten-free menu,Alcohol licence until 23:00,Alcohol licence until 23:00 (extension available),Corkage fee for BYO alcohol,Alcohol licence until 01:00 (extension available),Alcohol licence until 00:00 (extension available),Alcohol licence until 04:00,Alcohol licence until 01:00,Alcohol licence until 00:00,Alcohol licence until 02:00 (extension available),Alcohol licence until 03:00,Alcohol licence until 21:30,Alcohol licence until 22:30 (extension available),Alcohol licence until 00:30,Alcohol licence until 02:00,Alcohol licence until 23:30 (extension available),Alcohol licence until 05:00 (extension available),Alcohol licence until 23:30,Alcohol licence until 04:00 (extension available),Alcohol licence until 00:30 (extension available),Alcohol licence until 22:30,Alcohol licence until 05:00,Alcohol licence until 01:30,Alcohol licence until 21:00 (extension available),Alcohol licence until 22:00,Alcohol licence until 22:00 (extension available),Alcohol licence until 02:30,Alcohol licence until 02:30 (extension available),Alcohol licence until 21:00,Wi-Fi,Flatscreen TV,Whiteboard,Natural light,Projector,Flipchart,Conference call facilities,Air conditioning,Storage space,Accommodation available,Parking available,Own music allowed,Bring your own DJ,PA system / music speakers available,Lift to all floors,Wheelchair accessible,Promoted / ticketed events,Loud music / events,Wedding licence,Temporary event notices (TENs) available,Free parking is available on-site,Paid parking facilities available nearby,Disabled access toilets
https://www.tagvenue.com/rooms/london/5826/all-bar-one-leicester-square/mezzanine-area-upstairs,"all bar one, leicester square",mezzanine area - upstairs,51.510085492137,-0.13060862888335,"48 Leicester Square, London, WC2H 7LU",Leicester Square Station (250 yd),94,120,302,Venue offers catering,External catering not allowed,False,40.0,120.0,94.0,40.0,,40.0,40.0,0,0,1,0,1,1,0,0,1,,,1.0,0.0,,True,True,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,False,False,True,False,False,False,False,False,True,,False,False,False,False,True,,,
https://www.tagvenue.com/rooms/london/19860/institut-francais-au-royaume-uni/meeting-room-salle-baudoin,institut français au royaume-uni,meeting room - salle baudoin,51.4945863,-0.1773215,"17 Queensberry Place, London, SW7 2DT",South Kensington Station (300 yd),20,0,35,Venue offers catering,External catering allowed,False,20.0,,,,20.0,20.0,20.0,0,0,1,1,0,1,0,1,0,False,False,0.0,0.0,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,True,True,False,False,True,False,False,False,True,,True,True,False,False,False,,,
https://www.tagvenue.com/rooms/london/997/the-elgin/1st-floor,the elgin,1st floor,51.530393062669,-0.18544343306576,"255 Elgin Avenue, Maida Vale, London, W9 1NJ",Maida Vale Station (100 yd),80,100,70,Venue offers catering,External catering not allowed,False,,100.0,80.0,80.0,,60.0,,0,0,1,0,1,1,0,0,1,,,1.0,0.0,,False,False,False,False,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,True,False,False,True,False,False,False,True,False,True,,False,False,False,False,True,,,
https://www.tagvenue.com/rooms/london/13978/nikkis-bar/venue-hire,nikki's bar,venue hire,51.527392449514,-0.080203413963318,"39A HOXTON SQUARE SHOREDITCH, London, N1 6NN",Old Street Station (600 yd),150,400,210,Venue offers catering,External catering not allowed,False,,400.0,150.0,,100.0,,,0,0,1,0,1,1,0,0,1,,,1.0,0.0,,False,False,False,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,False,,True,False,False,,False,True,True,False,True,True,,
https://www.tagvenue.com/rooms/london/13093/flemings-mayfair/ormer-semi-private-area,flemings mayfair,ormer - semi private area,51.506385213418,-0.14524698257446,"Half Moon Street, 7-12, London, W1J 7BH",Green Park Station (200 yd),30,50,50,Venue offers catering,External catering not allowed,False,,50.0,30.0,,,,,0,1,0,0,1,1,0,0,1,,,0.0,0.0,,True,True,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,True,False,True,False,True,,False,False,True,True,True,False,False,False,False,,True,
https://www.tagvenue.com/rooms/london/949/barrio-soho/basement-exclusive,barrio soho,basement exclusive ,51.514254607081,-0.13678130740971,"6 Poland Street , Soho , London , W1F 8PS",Oxford Circus Station (400 yd),45,105,90,Venue offers catering,External catering not allowed,False,,105.0,45.0,40.0,,15.0,,0,0,1,0,1,1,0,0,1,,,1.0,0.0,,False,False,False,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,False,False,True,False,False,False,True,False,True,,False,True,True,False,True,,,
https://www.tagvenue.com/rooms/london/4058/hellenic-centre/boardroom,hellenic centre,boardroom,51.520811570372,-0.15362228650815,"16-18 Paddington Street, London, W1U 5AS",Baker Street Station (400 yd),50,0,48,Venue offers catering,External catering allowed,False,20.0,,,50.0,,18.0,18.0,0,0,1,1,0,1,0,0,1,True,False,0.0,0.0,,False,False,False,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,True,True,True,False,False,,True,False,True,True,True,True,True,False,False,,True,True
https://www.tagvenue.com/rooms/london/2668/the-mandeville-hotel/reform-social-grill,the mandeville hotel,reform social & grill,51.516523176436,-0.15105396627041,"Mandeville Place, London, W1U 2BE",Bond Street Station (400 yd),110,150,65,Venue offers catering,External catering not allowed,False,,150.0,110.0,,,,,1,0,1,0,1,1,0,0,1,,,1.0,1.0,,True,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,False,False,True,True,True,False,True,False,True,,True,True,False,False,False,,,
https://www.tagvenue.com/rooms/london/27906/marsha-london/inside-downstairs,marsha london,inside downstairs,51.508010845648,-0.1103135137558,"Gabriel’s Wharf 56 Upper Ground, Bishops. SE1 9PP Upper Ground, 56, London, SE1 9EY",Temple Station (450 yd),40,50,1,Venue offers catering,External catering not allowed,False,,50.0,40.0,,,,,0,0,1,0,1,1,0,0,1,,,1.0,0.0,,True,False,False,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,,True,
https://www.tagvenue.com/rooms/london/3780/jamies-ludgate/club-room,jamies ludgate,club room,51.513872168587,-0.10269012579499,"47 Ludgate Hill, , London , EC4M 7JZ",Blackfriars Station (300 yd),24,35,30,Venue offers catering,External catering not allowed,False,,35.0,24.0,,,,,0,0,1,0,1,1,0,0,1,,,0.0,0.0,,False,False,False,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False,True,True,False,False,True,False,True,,False,False,False,False,True,,,
https://www.tagvenue.com/rooms/london/4502/bma-house/barnes-room,bma house,barnes room,51.525795322006,-0.12893908783576,"BMA House,  Tavistock Square , London , WC1H 9JP",Euston Station (500 yd),12,30,34,Venue offers catering,External catering allowed,False,12.0,30.0,,,,9.0,,0,0,1,1,0,1,0,0,1,True,False,0.0,0.0,,False,False,True,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,True,,False,False,False,False,False,,,
https://www.tagvenue.com/rooms/london/15433/the-london-library/whole-venue,the london library,whole venue,51.507428626737,-0.13662099838257,"The London Library, 14 St James's Square, London, SW1Y 4LG",Piccadilly Circus Station (400 yd),120,200,158,Venue doesn’t offer catering,External catering allowed,False,,200.0,100.0,120.0,60.0,,,0,1,0,1,0,0,1,0,1,False,False,0.0,0.0,,,,,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,False,True,False,,True,False,True,,True,True,False,False,True,,True,
https://www.tagvenue.com/rooms/london/24/one-whitehall-place/churchills-bar,one whitehall place,churchills bar,51.506281506363,-0.12440399947513,"1 Whitehall Place, London, SW1A 2HD",Embankment Station (200 yd),0,70,106,Venue offers catering,External catering not allowed,False,,70.0,,,,,,1,1,0,0,1,1,0,0,1,,,0.0,0.0,,True,False,False,True,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,False,False,True,False,False,False,False,,True,False,False,False,False,,,
https://www.tagvenue.com/rooms/london/18219/gaucho-piccadilly/spanish-room,gaucho piccadilly,spanish room,51.50958382564,-0.13796210289001,"Swallow Street, 25, London, W1B 4QR, UK",Piccadilly Circus Station (350 yd),14,0,18,Venue offers catering,External catering not allowed,False,14.0,,14.0,,,,,0,0,1,0,1,1,0,0,1,,,0.0,0.0,,False,False,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,,,
https://www.tagvenue.com/rooms/london/22041/carluccios-richmond/full-venue-hire,carluccio's richmond,full venue hire,51.4639953,-0.3017709,"Kew Road, 31, London, TW9 2NQ",Richmond Station (150 yd),90,100,1,Venue offers catering,External catering not allowed,False,,100.0,90.0,,,,,0,0,1,0,1,1,0,0,1,,,1.0,0.0,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,False,True,True,False,True,False,True,False,False,,True,False,True,,True,False,False,False,True,,True,True
https://www.tagvenue.com/rooms/london/28184/yogalondon-studio/whole-space,yogalondon studio,whole space,51.5025812,-0.085398,"Weston Street, 60a, London, SE1 3QJ",London Bridge Station (400 yd),40,60,96,Venue doesn’t offer catering,External catering allowed,False,,60.0,,40.0,,,15.0,0,0,1,1,0,0,1,1,0,False,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,False,False,False,,False,True,False,True,True,False,False,False,False,,True,
https://www.tagvenue.com/rooms/london/5065/cocoon-global/cocoon-seminar-meeting-room,cocoon global,cocoon seminar meeting room,51.5210943,-0.0841596,"Christopher street, 4, London, EC2A 2BS",Liverpool Street Station (500 yd),20,20,20,Venue offers catering,External catering not allowed,False,20.0,20.0,20.0,,,,,1,1,0,0,1,0,1,1,0,,,0.0,1.0,,False,False,True,True,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,True,True,False,False,False,False,True,False,True,,False,True,True,False,True,,,
https://www.tagvenue.com/rooms/london/10282/radisson-blu-edwardian-vanderbilt/private-room-7,radisson blu edwardian vanderbilt,private room 7,51.495238398911,-0.18192887306213,"Cromwell Road, 68-86, London, SW7 5BT",Gloucester Road Station (150 yd),8,0,20,Venue offers catering,External catering not allowed,False,8.0,,,,,,,1,0,1,0,1,1,0,0,1,,,1.0,0.0,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,True,True,True,True,True,True,False,True,False,True,,False,False,False,False,True,,,
https://www.tagvenue.com/rooms/london/3486/the-bloomsbury-building/meeting-room-9,the bloomsbury building,meeting room 9,51.517196793791,-0.12500313519593,"10 BLOOMSBURY WAY HOLBORN, London, WC1A 2SL",Holborn Station (400 yd),10,0,15,Venue offers catering,External catering allowed,False,10.0,,,,,,,0,0,1,1,0,1,0,1,0,False,False,1.0,0.0,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,,,
